Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
N Illinois	Mid-American	14-16	0.46667	-11	191	1.33589	203	23.7794	257	79.2976	139	17.1823	3.51282	149	25.9187	
South Dakota	Summit Lg	17-16	0.51515	+13	192	1.33043	212	23.2687	140	84.0578	258	11.9149	3.85785	219	23.7836	
Hampton	Mid-Eastern AC	17-18	0.48571		193	1.32149	202	23.8691	142	83.9698	250	12.6037	1.37772	267	22.2015	
Columbia	Ivy League	13-15	0.46429	+2	194	1.31647	171	25.4489	230	80.341	122	17.8131	1.68793	161	25.408	
Detroit	Horizon	15-18	0.45455	+2	195	1.31637	196	24.0393	114	85.0294	262	11.7147	3.47485	143	26.0869	
TAM C. Christi	Southland	20-14	0.58824	+11	196	1.31381	217	22.9637	268	78.8366	149	16.8313	3.50539	306	21.012	
Oakland	Horizon	16-17	0.48485	+1	197	1.31122	187	24.4404	35	91.0381	336	6.1071	3.69038	127	26.7431	
Missouri	Southeastern	9-23	0.28125	-11	198	1.30775	182	24.693	270	78.6389	105	18.7548	3.80357	60	32.471	
Charlotte	Conference USA	14-18	0.4375	-4	199	1.30772	159	26.3859	44	89.7232	309	9.36654	3.9741	120	27.1561	
St Peter's	Metro Atlantic	16-18	0.47059	+17	200	1.29785	189	24.3786	314	75.4652	61	21.6174	2.15507	216	23.8177	
Charleston So	Big South	19-12	0.6129	-1	201	1.29684	216	22.972	121	84.8334	282	10.8429	4.38414	305	21.0322	
Lehigh	Patriot League	16-14	0.53333	+8	202	1.29437	205	23.5766	191	82.2549	212	14.0263	2.31801	234	23.3503	
FL Gulf Coast	Atlantic Sun	22-11	0.66667	-35	203	1.29211	206	23.5685	237	80.0605	163	16.2109	3.06898	293	21.4143	
UT Arlington	Sun Belt	16-15	0.51613		204	1.2908	192	24.2204	71	87.3281	306	9.59869	3.24146	174	25.0111	
Colgate	Patriot League	16-17	0.48485	+6	205	1.28986	183	24.6836	194	82.202	190	15.1868	2.48373	223	23.6993	
Mercer	Southern	19-16	0.54286	+3	206	1.28642	190	24.2893	249	79.468	129	17.5242	2.55484	271	22.1948	
New Hampshire	America East	19-13	0.59375	+7	207	1.27716	207	23.557	238	80.04	162	16.2214	2.47952	319	20.2484	
Air Force	Mountain West	14-17	0.45161	-5	208	1.27601	213	23.2611	203	81.6864	207	14.2753	4.80048	199	24.3383	
Miami OH	Mid-American	13-19	0.40625	-8	209	1.27438	199	23.918	183	82.575	211	14.0444	3.39475	150	25.9065	
Tulane	American Athletic	15-16	0.48387	-11	210	1.27033	223	22.4541	269	78.7719	157	16.3854	2.63241	166	25.2668	
Norfolk St	Mid-Eastern AC	20-14	0.58824	-3	211	1.26906	201	23.8692	144	83.8081	246	12.7678	2.32215	279	21.8109	
IPFW	Summit Lg	16-15	0.51613	+10	212	1.26651	180	24.9902	137	84.3734	235	13.3194	3.89252	243	22.971	
Northwestern LA	Southland	19-13	0.59375	-34	213	1.26534	234	21.382	6	96.5408	351	-2.45626	3.07492	299	21.2475	
Duquesne	Atlantic 10	12-19	0.3871	-8	214	1.26022	219	22.9072	73	87.2703	320	8.34093	4.94753	134	26.5205	
