Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Washington St	Pac 10	6-22	0.21429	-4	197	-0.114039	175	0.189475	242	67.2443	117	3.83532	3.9478	63	9.16271	
Marist	Metro Atlantic	14-14	0.5	+2	198	-0.120153	197	-1.44909	230	67.8053	157	1.6321	4.52697	241	-1.14403	
Missouri KC	Mid-Continent	16-13	0.55172	-2	199	-0.123675	205	-1.98265	145	72.7167	252	-3.81004	4.69204	232	-0.775295	
Arkansas St	Sun Belt	10-18	0.35714	-1	200	-0.128717	187	-0.684685	102	74.8478	266	-4.63132	4.16248	152	3.86945	
Troy	Trans America	17-11	0.60714	-3	201	-0.144774	200	-1.68935	132	73.3193	256	-4.11207	2.87108	287	-3.57794	
Rider	Metro Atlantic	16-14	0.53333	+5	202	-0.161861	215	-2.54667	220	68.3988	190	-0.062865	4.61114	248	-1.64694	
Duquesne	Atlantic 10	9-20	0.31034		203	-0.16808	196	-1.43552	150	72.1518	233	-2.70193	4.65181	133	5.18661	
UNC Greensboro	Southern	15-13	0.53571	-2	204	-0.17104	223	-3.26499	205	69.2081	217	-1.56646	5.03136	238	-0.978083	
S Carolina St	Mid-Eastern AC	20-14	0.58824		205	-0.173842	228	-3.62672	207	69.0467	222	-1.77348	2.62648	294	-3.97215	
Old Dominion	Colonial	11-19	0.36667	-2	206	-0.174644	179	0.051985	235	67.6092	129	3.33403	4.65284	175	2.56188	
Jacksonville St	Trans America	17-11	0.60714	+1	207	-0.194047	222	-3.19371	241	67.2576	179	0.446965	2.27322	286	-3.56227	
Alcorn St	Southwestern AC	19-10	0.65517	+1	208	-0.196339	216	-2.55997	183	70.3414	225	-1.99431	3.67214	314	-6.12862	
TAM C. Christi	D1 Independent	13-13	0.5	+1	209	-0.19831	212	-2.48681	53	78.1493	308	-9.72336	4.42721	218	0.063855	
Vermont	America East	16-12	0.57143	-4	210	-0.20062	230	-3.71018	152	71.98	268	-4.78412	3.57519	273	-2.72968	
Pacific	Big West	11-18	0.37931	+3	211	-0.209016	199	-1.56094	302	61.6998	64	7.63964	5.06162	176	2.36575	
UTRGV	D1 Independent	12-16	0.42857		212	-0.216065	220	-3.01464	112	74.315	283	-6.42179	4.44928	178	2.34226	
